""
ln(1.1742),16.018527690594837
ln(3.1393),14.32895091034605
G,0.605998
""
Run,18
Frequency,Intensity
0.7784,4154504.59375
1.1742,8724060.625
3.1393,1536317.875
ln(0.7784),15.23970374781529
ln(1.1742),15.981595355500051
ln(3.1393),14.244899121148375
G,0.75
""
Run,19
Frequency,Intensity
0.7784,4558266.625
1.1742,9656789.875
3.1393,1973659.59375
""
Run,20
Frequency,Intensity
0.7784,3882736.71875
1.1742,8272299.6875
3.1393,1313545.890625
""
Run,21
Frequency,Intensity
0.7784,3538848.46875
1.1742,7552275.65625
3.1393,1035864.96875
""
Run,22
Frequency,Intensity
0.7784,3081821.546875
1.1742,6584947.203125
3.1393,737456.234375
""
Run,23
Frequency,Intensity
0.7784,2511534.25
1.1742,5379492.671875
3.1393,437359.0625
""
Run,24
Frequency,Intensity
0.7784,1824791.703125
1.1742,3987060.921875
3.1393,194294.1171875
""
Run,25
Frequency,Intensity
0.7784,1361145.578125
1.1742,2556791.5078125
3.1393,59041.1484375
""
Run,26
Frequency,Intensity
0.7784,733221.96875
1.1742,1323266.52734375
3.1393,10029.59375
""
Run,27
Frequency,Intensity
0.7784,296632.2216796875
1.1742,507538.568359375
3.1393,1493.103515625
""
Run,28
Frequency,Intensity
0.7784,75688.65649414062
1.1742,88462.67236328125
3.1393,3898.9228515625
""
Run,29
Frequency,Intensity
0.7784,4604108.25
1.1742,9649060.96875
3.1393,2004641.8125
""
Run,30
Frequency,Intensity
0.7784,4563557.0625
1.1742,9645985.09375
3.1393,1974008.59375
""
Run,31
Frequency,Intensity
0.7784,4562721.1875
1.1742,9638256.0
3.1393,1953850.375
""
Run,32
Frequency,Intensity
0.7784,4496864.0625
1.1742,9505230.09375
3.1393,1902740.53125
""
Run,33
Frequency,Intensity
0.7784,4458249.125
1.1742,9438725.8125
3.1393,1824711.34375
""
Run,34
Frequency,Intensity
0.7784,4414980.21875
1.1742,9275231.75
3.1393,1787168.21875
""
Run,35
Frequency,Intensity
0.7784,4306541.875
1.1742,9054587.46875
3.1393,1672337.78125
""
Run,36
Frequency,Intensity
0.7784,4150188.21875
1.1742,8746571.71875
3.1393,1529260.9375
""
