""
Trail,1
""
0.7784,1.1742,3.1393,ln(0.7784),ln(1.1742),ln(3.1393),G
4542556.84375,9686084.3125,1964979.84375,15.32900059293311,16.08620080648104,14.490992545599301,0.02
3916824.078125,8252071.359375,1328324.859375,15.180791699238304,15.925974800660732,14.099429202126526,0.02475256
3552465.90625,7578714.34375,1065715.296875,15.083152541792632,15.840854131590392,13.879156771934502,0.030634450000000004
3084755.640625,6624579.171875,749863.65625,14.941983003310854,15.706297406592586,13.52764667731972,0.03791406
2499955.671875,5399487.8125,438177.3125,14.731783558431228,15.501814657498963,12.990378930499197,0.046923490000000005
1835304.796875,3982622.7109375,198498.671875,14.422721127516661,15.197451132830878,12.198537688280954,0.05807382
1361636.1484375,2547102.703125,56554.3046875,14.124197584948767,14.750467076322959,10.942956600442022,0.07187378
726815.15234375,1324306.8203125,12155.47265625,13.496427463310708,14.096399726028276,9.405534771740799,0.088953
296243.609375,503067.931640625,2528.259765625,12.598937399468847,13.128480492926515,7.835286505377411,0.11009070000000001
45767.50634765625,84246.79760742188,1756.797607421875,10.731329649918692,11.341505836897788,7.471247889418721,0.13625130000000002
4589972.78125,9649983.71875,1991689.03125,15.339384652008253,16.08246678613758,14.50449359613019,0.1686284
4555257.65625,9623468.59375,1977774.125,15.33179265266369,16.07971531833638,14.497482591014275,0.2086992
4573005.6875,9614305.0,1973260.53125,15.335681246352518,16.07876265150117,14.495197824563881,0.258292
4524023.3125,9526441.8125,1932240.0625,15.324912269277373,16.069581838912622,14.47419054198785,0.3196693
4459620.8125,9482356.75,1857825.0625,15.31057430076304,16.064943445655445,14.434917040263338,0.39563170000000003
4411613.34375,9308471.4375,1794062.09375,15.299751018105809,16.046435450757304,14.39999293290268,0.48964480000000005
4292310.96875,9052284.28125,1671030.25,15.272335833218564,16.018527690594837,14.32895091034605,0.605998
4154504.59375,8724060.625,1536317.875,15.23970374781529,15.981595355500051,14.244899121148375,0.75
